id,text,text_chunk,type,kind,date,source,embedding
text_001_20170421_1_c1,사기수법: 지하철 택배 아르바이트 사례: 사기범은 생활정보지에 현금 및 귀금속을 배달하는 지하철 택배 기사를 모집한다고 광고하여 구직자(A씨)를 채용 A씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 현금으로 찾아 지하철역에서 사기범에게 전달토록 기망,사기수법: 지하철 택배 아르바이트 사례: 사기범은 생활정보지에 현금 및 귀금속을 배달하는 지하철 택배 기사를 모집한다고 광고하여 구직자(A씨)를 채용 A씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 현금으로 찾아 지하철역에서 사기범에게 전달토록 기망,scenario,text,20170421,불법금융대응단,[]
text_001_20170421_2_c1,"사기수법: 경매대행 현장조사 아르바이트 사례: 사기범은 경매대행업체를 사칭, 아르바이트를 모집한다고 불특정 다수에게 문자메시지 발송하여 구직자(B씨)를 채용 경매 의뢰인의 경매대금을 회사에서 대납해주면, 낙찰 받은 후 경매대금과 컨설팅 수수료를 B씨가 지급받아 회사로 전달하는 업무 B씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 현금으로 찾아사기범에게 전달토록 기망","사기수법: 경매대행 현장조사 아르바이트 사례: 사기범은 경매대행업체를 사칭, 아르바이트를 모집한다고 불특정 다수에게 문자메시지 발송하여 구직자(B씨)를 채용 경매 의뢰인의 경매대금을 회사에서 대납해주면, 낙찰 받은 후 경매대금과 컨설팅 수수료를 B씨가 지급받아 회사로 전",scenario,text,20170421,불법금융대응단,[]
text_001_20170421_2_c2,"사기수법: 경매대행 현장조사 아르바이트 사례: 사기범은 경매대행업체를 사칭, 아르바이트를 모집한다고 불특정 다수에게 문자메시지 발송하여 구직자(B씨)를 채용 경매 의뢰인의 경매대금을 회사에서 대납해주면, 낙찰 받은 후 경매대금과 컨설팅 수수료를 B씨가 지급받아 회사로 전달하는 업무 B씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 현금으로 찾아사기범에게 전달토록 기망",팅 수수료를 B씨가 지급받아 회사로 전달하는 업무 B씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 현금으로 찾아사기범에게 전달토록 기망,scenario,text,20170421,불법금융대응단,[]
text_001_20170421_3_c1,사기수법: 인터넷 쇼핑몰 관리자 아르바이트 사례: 사기범은 구직사이트에 인터넷 쇼핑몰 자금 관리를 담당하는 아르바이트를 모집한다고 광고하여 구직자(C씨)를 채용 C씨 계좌에 판매대금이 입금되면 회사가 지정한 계좌로 이체하는 업무 C씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 인출 또는 사기범이 확보한 여러 개의 대포통장으로 이체토록 기망,사기수법: 인터넷 쇼핑몰 관리자 아르바이트 사례: 사기범은 구직사이트에 인터넷 쇼핑몰 자금 관리를 담당하는 아르바이트를 모집한다고 광고하여 구직자(C씨)를 채용 C씨 계좌에 판매대금이 입금되면 회사가 지정한 계좌로 이체하는 업무 C씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 인출 또는 사,scenario,text,20170421,불법금융대응단,[]
text_001_20170421_3_c2,사기수법: 인터넷 쇼핑몰 관리자 아르바이트 사례: 사기범은 구직사이트에 인터넷 쇼핑몰 자금 관리를 담당하는 아르바이트를 모집한다고 광고하여 구직자(C씨)를 채용 C씨 계좌에 판매대금이 입금되면 회사가 지정한 계좌로 이체하는 업무 C씨 계좌로 돈(보이스피싱 피해금)을 입금시킨 후 인출 또는 사기범이 확보한 여러 개의 대포통장으로 이체토록 기망,입금시킨 후 인출 또는 사기범이 확보한 여러 개의 대포통장으로 이체토록 기망,scenario,text,20170421,불법금융대응단,[]
text_002_20160603_1_c1,"사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할 뿐만 아니라 비밀누설죄로 처벌될 수 있다며 L씨를 현혹한 후 L씨가 송금한 피해금 전액을 인출하여 잠적했습니다.","사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금",scenario,text,20160603,불법금융대응단,[]
text_002_20160603_1_c2,"사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할 뿐만 아니라 비밀누설죄로 처벌될 수 있다며 L씨를 현혹한 후 L씨가 송금한 피해금 전액을 인출하여 잠적했습니다.","유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페",scenario,text,20160603,불법금융대응단,[]
text_002_20160603_1_c3,"사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할 뿐만 아니라 비밀누설죄로 처벌될 수 있다며 L씨를 현혹한 후 L씨가 송금한 피해금 전액을 인출하여 잠적했습니다.","하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)",scenario,text,20160603,불법금융대응단,[]
text_002_20160603_1_c4,"사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할 뿐만 아니라 비밀누설죄로 처벌될 수 있다며 L씨를 현혹한 후 L씨가 송금한 피해금 전액을 인출하여 잠적했습니다.","방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이",scenario,text,20160603,불법금융대응단,[]
text_002_20160603_1_c5,"사기수법: 검사사칭 사례: 피해자로 하여금 대검찰청 공식 홈페이지에 접속하게 하여 검찰 직원으로 믿게 하고 돈을 편취하는 신종 보이스피싱 피해 사례가 발생하였습니다. 그동안 검찰 사칭 보이스피싱은 사기범이 미리 만들어 놓은 대검찰청 피싱사이트로 피해자를 유도하는 수법이었으나, 이에 대한 금융소비자들의 대처능력이 강화되자 이번에는 대담하게도 대검찰청 공식 홈페이지로 접속하게 한 것입니다. 사기범은 서울중앙지방검찰청 수사관을 사칭하여, 피해자 L씨에게 현재 조사 중인 사건 범죄에 연루되어 있으니 형사처벌을 면하기 위해서는 대검찰청 홈페이지에 접속하여 소명할 것을 요구하였습니다. L씨는 공식 “대검찰청 홈페이지(www.spo.go.kr) > 온라인민원실 > 범죄신고”에 접속하여, 자신이 범죄에 연루되지 않았다는 내용으로 신고하였습니다. 범죄신고 홈페이지에 범죄신고시 민원신청번호가 자동으로 부여되어 피해자에게 문자로 전송되는데 예) 1AA(인터넷, 서면, 방문접수 등 구분)-1605(신고날짜)-150108(일련번호) 사기범은 민원신청번호에 앞에 3자리는 특별사건 번호이고, 1605는 범죄신고 일자, 마지막 번호들은 피해자 사건번호라고 거짓 설명하여 L씨로 하여금 자신을 검찰공무원임을 믿게 하였습니다. 또한 사기범은 L씨 명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할 뿐만 아니라 비밀누설죄로 처벌될 수 있다며 L씨를 현혹한 후 L씨가 송금한 피해금 전액을 인출하여 잠적했습니다.","명의 계좌에 있는 돈이 위험에 노출되어 있으니, 사건이 끝날 때까지 oo은행 계좌에 보관하여 안전조치를 하겠다며 자금이체를 요구하였습니다. 사기범의 말에 속은 L씨가 피해금을 사기범의 계좌로 송금하자, 사기범은 해당 사건은 철저히 비밀리 조사하고 있으니 은행 또는 경찰에 절대 누설해서는 안되며, 누설할 경우 또 다른 피해자가 발생할",scenario,text,20160603,불법금융대응단,[]
