id,text,type,kind,date,source,embedding
text_042_20210512,최초 접근방법 피해자 연령 피해자 성별 사기 유형 인터넷 카페 n.a. 남성 대출빙자형   2021.4월 어느 날 저금리 대출 관련해서 보이스피싱을 당했습니다. 카페에서 저금리로 대출을 해준다는 글을 보고 연락을 했는데 텔레그램으로 연락을 주고받게 되었습니다. 매니저라는 사람이 거래내역이 있어야 한다고 해서 돈을 구하느라 몇일 동안 몇 차례에 걸쳐서 입금을 했는데 그 이후로 카페도 폐쇄되고 연락이 안되는 상황입니다.,scenario,hwp,20210512,불법금융대응단,[]
text_043_20210512,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 인터넷 카페 30대 남성 대출빙자형   2021년 3월 중순 인터넷투자 까페에 대환대출을 조건이 어렵지 않고 이율도 최저로 금액도 최대로 해준다는 내용의 글을 보았습니다. 저는 투자금이 없었고 기존의 대출이 있는 관계로 글쓴이에게 메신저로 연락하였더니, 자기도 대출을 진행했고 그 덕분에 돈을 많이 벌 수 있었다라고 알려주었습니다.   조금 망설였으나 그 사람이 가족사진이며 이름이나 각종 정보들을 주고 해서 친해졌습니다. 그 사람과 다시 얘기를 해서 대출을 진행하였습니다.   그 사람이 “대출자금이 해외에서 들어오는 자금세탁용 검은 돈이어서 비밀스럽게 진행하고 5천만원 정도 보내면 한 2억원은 대출이 진행될 것이다"" 해서  제가 ""확실한 거냐? 책임질 수 있냐?"" 물었는데, 그 사람이 “확실하고 책임질 수 있고 나도 두 아이의 아빠인데 거짓말 하겠냐?"" 라고 하였습니다.  저는 그 말을 듣고 3월 26일 천만원씩 5천만원을 ○○은행 계좌로 송금했고  “기다리면 몇일 사이에 자금세탁이 되어 계좌로 입금될 것이다 기다리라"" 말만 듣고 기다렸으나, 3월 31일 9만원, 4월 1일 237만원 및 444만원 나누어서 제 □□은행 계좌로 입금되었습니다.  그래서 “왜 이리 적게 입금 되냐?” 따져 물으니  그 사람이 “해외에서 자금세탁이 문제가 생겨 일부밖에  되지 않아 그렇다."" 하고  제가 “그러면 나머지 금액은 언제쯤 나오나?” 물었더니  그 사람이 “기약은 알 수 없으니 기다려야 되고 내가 최대한 힘써 보긴 하는데 그러려면 뇌물(?)이 필요하다. 그래서 입금을 하면 빠르게 해결할 수 있고 오히려 금액이 더 크게 나오게 힘써 보겠다.""라고 하였습니다.  이 얘기를 듣고 처음에는 망설였으나 언제 나올지 기약도 없다 하고 돈을 못 받을 수도 있어서 뇌물로 돈을 쓰는 것밖에 방법이 없다 하여 입금한 5천만원이 생각나 최대한 돈을 빨리 마련하여 5천만원을 더 송금했습니다.  그 이후로 메신저도 차단되었고 더 이상 연락이 불가능 하였습니다.",scenario,hwp,20210512,불법금융대응단,[]
text_044_20210512,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 인터넷 광고 n.a. 여성 대출빙자형   2021년 3월 어느 날 대출을 좀 받아볼까 하고 인터넷을 알아보던 도중 대환대출을 금리 낮게 해준다고 하여 ○○캐피탈이라는 사이트에 들어갔고,   5000만원 대출을 신청하였습니다. 텔레그램 메신저로 이야기를 나누었으며,  캐피탈 측에서 “대출을 받으려면 요즘 코로나 때문에 받는 분들이 많아 거래내역을 4차례 남겨야 됩니다.” “대환대출을 위해 필요하니 지정하는 계좌로 금액을 입금하세요”라고  안내하여 송금하라는 금액에 맞춰 송금했지만,  대출이 이루어지지 않았고 연락이 두절되었습니다.",scenario,hwp,20210512,불법금융대응단,[]
text_045_20210511,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 문자메시지 60대 여성 메신저피싱   2021년 3월 21일(일) 오후 2시경 저는 메신저피싱에 걸려들어 사기범에게 신분증과 계좌정보를 송부하였고, 사기범이 보내준 URL을 눌러서 악성액을 깔았습니다. 악성앱이 설치되자 핸드폰 통화 자체가 되지 않았습니다.  사기범은 탈취한 신분증 등으로 제 명의 ○○증권회사 비대면 계좌를 개설하고 오픈뱅킹에 가입한 후 오픈뱅킹에 등록된 제 □□은행 계좌에서 1천만원을 제 명의로 개설한 동 증권회사 계좌로 이체하여 편취하였습니다.  저는 즉시 보이스피싱임을 알게 되었으나, 핸드폰에 악성앱이 설치되어 통화를 할 수가 없어 □□은행에 지급정지도 신청할 수 없었고, 피해금이 모두 인출되는 것을 막을 수 없었습니다.",scenario,hwp,20210511,블법금융대응단,[]
text_046_20210511,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 문자메시지 60대 여성 메신저피싱   2021년 2월 ○○일 딸을 사칭한 문자메시지를 받고 팀뷰어 원격 어플로 □□은행의 예적금, 청약 통장에 있던 약 6천만원을 탈취 당했습니다. 오후 4시부터 10시까지 약 6시간 동안 사기꾼들이 □□은행 어플을 접속하여 모든 금액을 타행 계좌로 이체해 갔습니다.   사건 발생 과정은 다음과 같습니다. 2021년 2월 23일 오후 12시 경 딸이라며 문자를 보내왔습니다. 저는 의심없이 믿고 있었는데, 신분증, 계좌, 비밀번호를 요구하길래 보내주었고, 팀뷰어 어플을 설치하라고 하여 설치하였습니다. 그랬더니 ○○은행 고객센터 번호가 차단되도록 설정되었습니다.  그것도 모르고, 보안카드나 OTP 번호를 요구하길래 은행 지점을 방문하여 OTP를 발급받았고, OTP 생성번호를 보냈습니다.  그 후 딸을 사칭한 사기범이 4시 경부터 은행 어플에 접속하여 예&#8226;적금 및 청약통장을 해약하였으며, 10시까지 약 6시간 동안 은행 어플을 통해 100만원 미만의 금액을 반복적으로 타행 계좌로 이체하여 총 6천만원 가량을 탈취하였습니다.",scenario,hwp,20210511,불법금융대응단,[]
text_047_20210511,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 문자메시지 60대 여성 메신저피싱   2021년 2월 ○○일 오후 3시경에 딸을 사칭하여  “휴대폰이 고장이 나서 전화를 쓰게 되었다”며  “전화번호를 카톡추가 하라”고 하여 하였더니  급하게 “엄마카드로 상품권을 사고 현금반환 계좌번호를 알려줘” 해서  “상품권을 카드로 살수 없다”고 하자  “이번에 더 저렴하게 살수 있어. 앱설치를 부탁해”해서 앱을 설치하고,  “비번 알려줘” 해서 알려주었더니  휴대폰이 3시간 정도 통제가 되지 않고 계속 진행되었습니다.  오후 5시경 집에 오니 진짜 딸이 보이스피싱 당한 것 같다고 연락해왔습니다.  확인해보니, 내 ○○계좌에서 450만원정도 &#9634;&#9634;은행에서 20만원정도 인출되어 있었습니다.",scenario,hwp,20210511,불법금융대응단,[]
text_048_20210511,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 문자메시지 60대 여성 메신저피싱   2021년 2월 00일 오후 낯선 문자가 하나 떴습니다.  “누구냐?”고 했더니,  “엄마 딸”이라면서 시집 간 딸이 문자 보내는 말투, 이모티콘이 너무 똑같아 “이게 뭐냐?” 하고 물었더니, “아침에 출근하다가 전화기 액정이 깨져서 대리점에 맡겼더니 급한 연락할 때만 쓰라고 빌려줬어. 문자랑 카톡만 돼. ○○○○○로 카톡 친구추가 해줘” 라고 해서 카톡 친구추가 해주었더니, 카톡에 들어왔습니다. “휴대폰으로 받아야 할 문자가 있는데, 전화기를 대리점에 맡겨서 못 받으니까 엄마 전화로 잠깐 문자 받고 일하려고 해.” 그리고는 애플리케이션 화면이 떴습니다. “이거 누르고 잠깐만 기다리고 있어봐~ 내가 급한 볼일만 좀 받게” 그러기에 “그러마” 했더니, “아, 엄마 폰이 명의가 본인이 아니야. 본인확인하게 신분증 앞뒤 사진이랑 카드 앞뒤사진이랑 찍어서 보내줘”라고 하는 것이었습니다.  그래서 사진을 찍어 보냈는데, 이상하게 그 때는 다른 카톡과 전화, 문자는 한 번도 오질 않았습니다.   다음 날 아침 제가 수술후 치료 받으러 병원 가는 길에 카톡이 왔습니다. “엄마, 병원이야?”  그동안 제 딸과 대화한 카톡을 읽었는지 모든 상황을 알고 있는 듯 했습니다. “전화는?” “아, 지금 대리점 가고 있는 중. 참 신용카드 사진도 좀 보내줘~ 오전 중에 끝나” “얼른 전화 찾아~” 하면서 신용카드 앞뒤면 사진을 찍어 보내주었습니다.  그런데, 직장에 출근했던 아들이 뛰어 들어와 전화를 보니까 어제 그 시간부터 저에게 왔던 전화들은 차단 표시가 되어 있고 그동안 했던 문자와 카톡내용 모두가 사라져 버렸습니다.  구글플레이에서 ○건의 소액결제를 하고 문자가 와 있어서 이메일을 열어보니까, &#9634;&#9634;은행에 대출신청한 동의서가 들어있었습니다. &#9634;&#9634;은행에 전화했더니 이미 내 이름으로 약 2천4백만원이 대출되어 여섯 명에게 나누어 송금했다고 하면서 원격조정으로 내 핸드폰이 해킹을 당한 거라고 했습니다.   태어나서 한 번도 거래가 없었던 &#9634;&#9634;은행에서 통장이 개설되고 소액결제와 대출신청이 인정되어 대출이 되었다 하니 납득이 되지 않습니다.",scenario,hwp,20210511,불법금융대응단,[]
text_049_20210511,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 문자메시지 40대 여성 대출빙자형   2021년 1월 14일에 ○○저축은행으로 사칭한 곳으로부터 대출권유 문자를 받고 저의 운전면허증을 송부하였을 뿐 대출을 신청하지는 않았습니다.   사기범은 제 신분증으로 대포폰을 만들었고, 신분증과 대포폰을 이용하여 본인인증을 거쳐 제 명의로 증권회사 비대면계좌를 만들었습니다.   그리고나서 ○○저축은행에서 제 신분증과 대포폰, 그리고 제 명의로 개설된 증권회사 계좌 소액이체를 통해 본인인증을 거친 후 비대면 디지털 콜 대출 500만원을 동 증권회사 계좌로 받아서 탈취하여 갔습니다.",scenario,hwp,20210511,불법금융대응단,[]
text_050_20210510,"최초 접근방법 피해자 연령 피해자 성별 사기 유형 카톡 및 문자 50대 여성 메신저피싱   2021년 1월 ○○일(토) 아들이라며 휴대폰의 카톡과 문자메시지로 자기 폰에 문제가 생겼다고 하였습니다. 티몬이라는 사이트에 계정을 만들어야한다며 지정하는 사이트(원격으로 내 휴대폰을 공유하는 앱)을 설치하라고 하여 설치하였습니다.   그런 다음 통장번호와 통장 비밀번호, 신용카드 비밀번호(카드번호 제외)를 요구하여 알려주었습니다. 또 신분증을 찍어 보내라고 하여 운전면허증을 찍어서 보냈습니다.  그런 후 당일(토)과 익일(일)에 걸쳐 이 통장과 연계되어 있는 □□카드로 현금서비스 7,200,000원과 □□장기대출(카드론) 2건으로 29,900,000원이 대출되었고, 그 금액을 보이스피싱 범죄자들이 제 이름으로 개설한 △△투자금융의 계좌로 1차 이체하였고 또 다시 ◇◇투자증권 주식계좌를 개설하여 피해금액을 이체한 후 대포통장 등을 이용해 인출하여 갔습니다.",scenario,hwp,20210510,불법금융대응단,[]
text_051_20210510,"사기 유형 최초 접근방법 피해자 연령 피해자 성별 메신저피싱 문자메시지 50대 여성   2020.12.○○일 발생  ① 10:52 문자수신 “엄마, 폰 액정 깨져 문자만 됨” ② 10:57 딸(사칭), 주민증 사본, 비밀번호, 통장비밀번호 요청 ③ 10:58 피해자, 주민증, 신용카드, 통장번호, 비밀번호 발송 ④ 11:00 딸(사칭), 악성 앱 URL 발송 및 설치 요구 https://play.google.com/store/apps/details?id=com.teamreviewer.quicksupport.market ⑤ 11:24 피해자 폰에서 앱 생성  https://start.teamreviewer.com/719723616 ⑥ 11:57 ○○계좌번호+비밀번호 요구 및 자료발송 ⑦ 14:00 피해자 “핸드폰이 왜이리 뜨거울까?” 하고 딸한테 전화                 “너 아직까지 전화기 폰 고치가 있냐?”            딸 “엄마, 무슨 소리야 그거 보이스피싱 아니야?”           피해자 “어~ 너 폰에 문제 없구나”           딸 “그래, 내 폰에 아무런 문제 없지”           그때 아차 싶어서, 신고(112에 신고)하고, □□카드에 전화하니 현금서비스 360만원 인출되었고, 카드론 2,500만원 진행중 ⑧ 14:30 경찰서로 직접 달려감 ⑨ 14:40 경찰서에서 보이스피싱 사건 접수 및 상담 중 ○○에 전화하여 확인해보니 “귀하의 ○○계좌에서 △△투자증권으로 1,300여만원이 이체되었다” 알려줌 ⑩ 15:55 문자수신 “[◇◇] 귀하의 ◇◇계좌에서 △△투자증권 유** 계좌로 3,000,000원 이체완료” ⑪ 16:03 문자수신 “[◇◇] 귀하의 ◇◇계좌에서 ○○ 김** 계좌로 450,000원 이체완료” ⑫ 16:13 문자수신 “[◇◇] 귀하의 ◇◇계좌에서 ○○ 최** 계좌로 465,000원 이체완료”",scenario,hwp,20210510,불법금융대응단,[]
